size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,1,500,6.437361,0.000089,6.436858,32448503,omp_scaling_112t,n/a,1,112,1,1,112
16384,16384,1,500,8.438407,0.000090,8.437990,32448502,omp_scaling_84t,n/a,1,84,1,1,84
16384,16384,1,500,68.475690,0.000031,68.475485,32448496,omp_scaling_4t,n/a,1,4,1,1,4
16384,16384,1,500,105.208319,0.000042,105.208100,32448495,omp_scaling_2t,n/a,1,2,1,1,2
16384,16384,1,500,12.496633,0.000041,12.496068,32448501,omp_scaling_56t,n/a,1,56,1,1,56
16384,16384,1,500,21.760007,0.000027,21.759600,32448500,omp_scaling_32t,n/a,1,32,1,1,32
16384,16384,1,500,43.337313,0.000041,43.337031,32448498,omp_scaling_16t,n/a,1,16,1,1,16
16384,16384,1,500,53.946586,0.000041,53.946368,32448497,omp_scaling_8t,n/a,1,8,1,1,8
16384,16384,1,500,282.894594,0.000031,282.894387,32448494,omp_scaling_1t,n/a,1,1,1,1,1
