size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,1,500,53.639263,0.000039,53.638984,32449127,omp_scaling_8t,n/a,1,8,1,1,8
16384,16384,1,500,6.426078,0.000075,6.425594,32449133,omp_scaling_112t,n/a,1,112,1,1,112
16384,16384,1,500,67.937594,0.000033,67.937314,32449125,omp_scaling_4t,n/a,1,4,1,1,4
16384,16384,1,500,8.449028,0.000037,8.448428,32449131,omp_scaling_84t,n/a,1,84,1,1,84
16384,16384,1,500,12.493619,0.000112,12.493116,32449130,omp_scaling_56t,n/a,1,56,1,1,56
16384,16384,1,500,21.713404,0.000091,21.712944,32449129,omp_scaling_32t,n/a,1,32,1,1,32
16384,16384,1,500,104.436864,0.000031,104.436684,32449124,omp_scaling_2t,n/a,1,2,1,1,2
16384,16384,1,500,43.014634,0.000037,43.014372,32449128,omp_scaling_16t,n/a,1,16,1,1,16
16384,16384,1,500,296.235029,0.000036,296.234784,32449123,omp_scaling_1t,n/a,1,1,1,1,1
