size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
32768,32768,1,500,25.638296,0.000055,25.637812,21825255,omp_scaling_112t,n/a,1,112,1,1,112
32768,32768,1,500,33.616742,0.000085,33.616100,21825253,omp_scaling_84t,n/a,1,84,1,1,84
32768,32768,1,500,49.942662,0.000038,49.942239,21825251,omp_scaling_56t,n/a,1,56,1,1,56
32768,32768,1,500,86.722945,0.000145,86.722429,21825250,omp_scaling_32t,n/a,1,32,1,1,32
32768,32768,1,500,172.492874,0.000059,172.492505,21825248,omp_scaling_16t,n/a,1,16,1,1,16
32768,32768,1,500,218.222170,0.000087,218.221745,21825247,omp_scaling_8t,n/a,1,8,1,1,8
32768,32768,1,500,287.508793,0.000040,287.508383,21825246,omp_scaling_4t,n/a,1,4,1,1,4
32768,32768,1,500,419.839083,0.000040,419.838671,21825245,omp_scaling_2t,n/a,1,2,1,1,2
32768,32768,1,500,779.847826,0.000046,779.847541,21825244,omp_scaling_1t,n/a,1,1,1,1,1
