size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,128,500,0.198849,0.061091,0.160308,21778392,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,8,500,6.191785,0.205986,6.017184,21778388,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
16384,16384,64,500,0.483973,0.064319,0.433838,21778391,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,32,500,1.445866,0.134272,1.339494,21778390,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,3.008598,0.127513,2.902522,21778389,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
