size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
32768,32768,32,500,6.231620,0.316803,6.025121,21955694,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
32768,32768,128,500,1.439703,0.118708,1.341986,21955699,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
32768,32768,64,500,2.998212,0.128369,2.904396,21955695,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
32768,32768,16,500,12.548707,0.373875,12.274809,21955693,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
32768,32768,8,500,25.102631,0.651539,24.645820,21955691,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
