size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
32768,32768,128,500,1.500909,0.152312,1.383232,21731227,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
32768,32768,64,500,3.120345,0.164304,3.003613,21731226,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
32768,32768,16,500,13.003771,0.488925,12.622449,21731224,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
32768,32768,32,500,6.431459,0.332999,6.183593,21731225,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
32768,32768,8,500,25.886345,0.771149,25.323128,21731223,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
