size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,8192,8,500,3.067347,0.115070,2.968709,21300348,weak_1n_8mpi_14omp_16384x8192,n/a,1,14,8,8,14
65536,32768,128,500,3.177547,0.241638,2.981724,21300352,weak_16n_128mpi_14omp_65536x32768,n/a,16,14,8(x16),128,14
32768,32768,64,500,3.117209,0.180391,2.980023,21300351,weak_8n_64mpi_14omp_32768x32768,n/a,8,14,8(x8),64,14
16384,16384,16,500,3.161984,0.215612,2.979810,21300349,weak_2n_16mpi_14omp_16384x16384,n/a,2,14,8(x2),16,14
32768,16384,32,500,3.122961,0.184192,2.972173,21300350,weak_4n_32mpi_14omp_32768x16384,n/a,4,14,8(x4),32,14
