size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,1,500,6.414015,0.000122,6.413418,21778350,omp_scaling_112t,n/a,1,112,1,1,112
16384,16384,1,500,8.421359,0.000045,8.420848,21778349,omp_scaling_84t,n/a,1,84,1,1,84
16384,16384,1,500,12.419889,0.000094,12.419446,21778348,omp_scaling_56t,n/a,1,56,1,1,56
16384,16384,1,500,21.706531,0.000056,21.706215,21778347,omp_scaling_32t,n/a,1,32,1,1,32
16384,16384,1,500,43.212054,0.000040,43.211781,21778346,omp_scaling_16t,n/a,1,16,1,1,16
16384,16384,1,500,53.840150,0.000069,53.839856,21778345,omp_scaling_8t,n/a,1,8,1,1,8
16384,16384,1,500,67.491750,0.000044,67.491496,21778343,omp_scaling_4t,n/a,1,4,1,1,4
16384,16384,1,500,112.609094,0.000033,112.608873,21778341,omp_scaling_2t,n/a,1,2,1,1,2
16384,16384,1,500,194.144426,0.000034,194.144186,21778339,omp_scaling_1t,n/a,1,1,1,1,1
