size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
65536,65536,128,500,6.425851,0.304926,6.205846,21731295,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
65536,65536,64,500,12.918936,0.417404,12.658198,21731294,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
65536,65536,32,500,29.042056,3.924667,28.178181,21731293,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
65536,65536,16,500,51.904060,1.520818,50.962839,21731292,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
65536,65536,8,500,103.545381,3.117491,101.733921,21731291,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
