size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,128,500,0.227925,0.078861,0.176239,21730765,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,64,500,0.650343,0.218199,0.599075,21730764,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,32,500,1.469366,0.117059,1.369682,21730763,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,3.170261,0.221024,2.975401,21730762,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,8,500,6.378252,0.261572,6.174583,21730761,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
