size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,1,500,7.959966,0.000051,7.959564,21730681,omp_scaling_112t,n/a,1,112,1,1,112
16384,16384,1,500,9.966479,0.000059,9.965905,21730680,omp_scaling_84t,n/a,1,84,1,1,84
16384,16384,1,500,12.945967,0.000068,12.945484,21730679,omp_scaling_56t,n/a,1,56,1,1,56
16384,16384,1,500,22.101355,0.000043,22.100986,21730678,omp_scaling_32t,n/a,1,32,1,1,32
16384,16384,1,500,43.594717,0.000026,43.594432,21730676,omp_scaling_16t,n/a,1,16,1,1,16
16384,16384,1,500,54.289232,0.000037,54.288981,21730675,omp_scaling_8t,n/a,1,8,1,1,8
16384,16384,1,500,70.830991,0.000083,70.830739,21730674,omp_scaling_4t,n/a,1,4,1,1,4
16384,16384,1,500,108.083073,0.000080,108.082803,21730673,omp_scaling_2t,n/a,1,2,1,1,2
16384,16384,1,500,198.381045,0.000037,198.380857,21730672,omp_scaling_1t,n/a,1,1,1,1,1
