size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,8192,8,500,2.993065,0.112196,2.900647,21778331,weak_1n_8mpi_14omp_16384x8192,n/a,1,14,8,8,14
32768,32768,64,500,3.014782,0.140124,2.908457,21778334,weak_8n_64mpi_14omp_32768x32768,n/a,8,14,8(x8),64,14
65536,32768,128,500,3.058825,0.172545,2.917117,21778335,weak_16n_128mpi_14omp_65536x32768,n/a,16,14,8(x16),128,14
32768,16384,32,500,3.027290,0.151111,2.900432,21778333,weak_4n_32mpi_14omp_32768x16384,n/a,4,14,8(x4),32,14
16384,16384,16,500,3.021269,0.138821,2.904104,21778332,weak_2n_16mpi_14omp_16384x16384,n/a,2,14,8(x2),16,14
